id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45802989,Huge room at the center of bcn and well equipped,76088665,Paco,Ciutat Vella,el Barri Gòtic,41.37991,2.17769,Private room,25,30,0,,,3,0,0,
45808298,Habitación con cama individual,64935120,Rossina,Eixample,la Sagrada Família,41.40784,2.1751,Private room,400,30,0,,,2,364,0,
45814330,Stylish and centric studio in the Gothic Area,362312215,Xavier,Ciutat Vella,el Barri Gòtic,41.381168,2.175454,Entire home/apt,118,4,8,2021-08-31,2.42,8,107,8,HUTB-000160
45820424,Apartamento de 1 dormitorio en el corazón de Borne,4402995,Citytrip Barcelona,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38856,2.17644,Entire home/apt,60,10,1,2021-03-07,0.16,5,0,1,HUTB-002305
45821787,Banys Vells - Nice 1 bed in Born,9478280,Simona & Pia,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38509,2.18187,Entire home/apt,37,32,0,,,43,253,0,Exempt
45822443,Apartamento loft en corazón del Borne,4402995,Citytrip Barcelona,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38676,2.17795,Entire home/apt,55,10,3,2020-11-19,0.38,5,0,3,HUTB-013142
45823030,Super apartamento situado en de Passeig de Colom,4402995,Citytrip Barcelona,Ciutat Vella,el Barri Gòtic,41.38192,2.1802,Entire home/apt,70,10,0,,,5,0,0,HUTB-003342
45827628,Habitación doble con baño privado,4219919,Waría,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,41.39999,2.14439,Private room,50,30,0,,,1,365,0,
45840022,H1 Independent Entrance&Private Bathroom at Gràcia,259392115,Carlos,Eixample,la Dreta de l'Eixample,41.3913,2.16793,Private room,60,2,7,2021-08-19,2.41,4,78,7,Exempt
45842845,Private room and balcony with views in Eixample,371653788,Jelen,Eixample,la Nova Esquerra de l'Eixample,41.38003,2.15479,Private room,50,2,0,,,1,63,0,Exempt
45843202,Habitación privada en casa con terraza,18208787,Matias,Sant Martí,el Camp de l'Arpa del Clot,41.4161,2.18475,Private room,15,1,0,,,1,0,0,Exempt
45845011,Alohause | Sagrada Familia Room | Duplex | Plz.Es,204662752,Tania & Gonzalo,Sants-Montjuïc,Hostafrancs,41.37248,2.144,Private room,18,30,0,,,36,254,0,Exempt
45845405,Alohause | Plaza de España Room | Duplex | Plz.Es,204662752,Tania & Gonzalo,Sants-Montjuïc,Hostafrancs,41.37248,2.14385,Private room,26,30,0,,,36,315,0,
